"Model","split_num","iter_num","AUC_score"
"AB8",7,2,0.84214720370907
"AB8",8,2,0.907563025210084
"AB8",9,2,0.819617502173283
"AB9",0,0,0.729249473930325
"AB9",1,0,0.768724183617801
"AB9",2,0,0.730262645156262
"AB9",3,0,0.82041437264561
"AB9",4,0,0.785714285714286
"AB9",5,0,0.713778614894234
"AB9",6,0,0.678571428571429
"AB9",7,0,0.713778614894234
"AB9",8,0,0.748478701825558
"AB9",9,0,0.678571428571429
"AB9",0,1,0.846153846153846
"AB9",1,1,0.691801106694724
"AB9",2,1,0.576923076923077
"AB9",3,1,0.857142857142857
"AB9",4,1,0.856635757751376
"AB9",5,1,0.784192987539843
"AB9",6,1,0.642857142857143
"AB9",7,1,0.677557229788467
"AB9",8,1,0.678064329179948
"AB9",9,1,0.252028397565923
"AB9",0,2,0.691294521081755
"AB9",1,2,0.691294521081755
"AB9",2,2,0.884108799002416
"AB9",3,2,0.748985801217039
"AB9",4,2,0.713778614894234
"AB9",5,2,0.713778614894234
"AB9",6,2,0.678064329179948
"AB9",7,2,0.75
"AB9",8,2,0.713271515502753
"AB9",9,2,0.785714285714286
"RF0",0,0,0.916452341984257
"RF0",1,0,0.897046216195152
"RF0",2,0,0.933987997817785
"RF0",3,0,0.857396406838598
"RF0",4,0,0.826028687337004
"RF0",5,0,0.88304114749348
"RF0",6,0,0.924731961750217
"RF0",7,0,0.837981744421907
"RF0",8,0,0.899666763257027
"RF0",9,0,0.831498116487974
"RF0",0,1,0.937962746473385
"RF0",1,1,0.869573688722625
"RF0",2,1,0.877679058530122
"RF0",3,1,0.881628513474355
"RF0",4,1,0.939582729643582
"RF0",5,1,0.876086641553173
"RF0",6,1,0.850659229208925
"RF0",7,1,0.839973920602724
"RF0",8,1,0.916147493480151
"RF0",9,1,0.86036656041727
"RF0",0,2,0.903281116047074
"RF0",1,2,0.894240511261788
"RF0",2,2,0.946652638142
"RF0",3,2,0.905896841495219
"RF0",4,2,0.779121993625036
"RF0",5,2,0.775173862648508
"RF0",6,2,0.889235004346566
"RF0",7,2,0.887351492321066
"RF0",8,2,0.922522457258766
"RF0",9,2,0.946899449434947
"RF1",0,0,0.928298651702907
"RF1",1,0,0.907255864702673
"RF1",2,0,0.927129607980672
"RF1",3,0,0.894378441031585
"RF1",4,0,0.791292379020574
"RF1",5,0,0.91589394378441
"RF1",6,0,0.938858301941466
"RF1",7,0,0.911185163720661
"RF1",8,0,0.809330628803245
"RF1",9,0,0.869820341929875
"RF1",0,1,0.981607045436833
"RF1",1,1,0.906008884732289
"RF1",2,1,0.910451250876783
"RF1",3,1,0.908070124601565
"RF1",4,1,0.942625325992466
"RF1",5,1,0.904737757171834
"RF1",6,1,0.876557519559548
"RF1",7,1,0.832367429730513
"RF1",8,1,0.946899449434946
"RF1",9,1,0.90546218487395
"RF1",0,2,0.896929311822929
"RF1",1,2,0.891512742576572
"RF1",2,2,0.95573221105136
"RF1",3,2,0.918501883512026
"RF1",4,2,0.784337873080267
"RF1",5,2,0.826861779194436
"RF1",6,2,0.905534627644161
"RF1",7,2,0.907635467980296
"RF1",8,2,0.947768762677485
"RF1",9,2,0.947913648217908
"RF2",0,0,0.924557711791754
"RF2",1,0,0.941547813888239
"RF2",2,0,0.874912321720832
"RF2",3,0,0.912054476963199
"RF2",4,0,0.838090408577224
"RF2",5,0,0.904230657780353
"RF2",6,0,0.947913648217908
"RF2",7,0,0.956751666183715
"RF2",8,0,0.825557809330629
"RF2",9,0,0.934584178498986
"RF2",0,1,0.986750837814668
"RF2",1,1,0.929545631673291
"RF2",2,1,0.883952926506118
"RF2",3,1,0.959432048681542
"RF2",4,1,0.950666473485946
"RF2",5,1,0.920168067226891
"RF2",6,1,0.855983772819473
"RF2",7,1,0.819689944943495
"RF2",8,1,0.956896551724138
"RF2",9,1,0.921616922631121
"RF2",0,2,0.954017613592082
"RF2",1,2,0.8853557789728
"RF2",2,2,0.970929779440418
"RF2",3,2,0.936467690524486
"RF2",4,2,0.821790785279629
"RF2",5,2,0.817951318458418
"RF2",6,2,0.894740654882643
"RF2",7,2,0.952549985511446
"RF2",8,2,0.941466241669081
"RF2",9,2,0.984352361634309
"RF3",0,0,0.934299742810381
"RF3",1,0,0.895097809991427
"RF3",2,0,0.927986906710311
"RF3",3,0,0.881338742393509
"RF3",4,0,0.822334106056216
"RF3",5,0,0.884598667053028
"RF3",6,0,0.911511156186613
"RF3",7,0,0.926253259924659
"RF3",8,0,0.922920892494929
"RF3",9,0,0.863083164300203
"RF3",0,1,0.941158132647494
"RF3",1,1,0.821915672979503
"RF3",2,1,0.85215493726132
"RF3",3,1,0.901115618661258
